CustomerID,Age,Gender,Membership,Frequency,Recency,T,AvgOrderValue,TotalSpent
C011,26,Male,Basic,3,35,220,1099,3297
C012,30,Female,Premium,7,18,365,1599,11193
C013,38,Male,Free,2,95,200,749,1498
C014,25,Female,Basic,5,42,280,1199,5995
C015,34,Male,Premium,11,7,420,1899,20889
C016,23,Female,Free,1,150,180,699,699
C017,41,Male,Basic,6,25,330,999,5994
C018,29,Female,Premium,9,10,390,1699,15291
C019,36,Male,Basic,4,55,280,1299,5196
C020,27,Female,Free,2,75,210,799,1598
C021,32,Male,Premium,10,6,400,1799,17990
C022,24,Female,Basic,3,48,230,999,2997
C023,39,Male,Premium,8,14,365,1499,11992
C024,28,Female,Free,2,90,190,699,1398
C025,33,Male,Basic,5,32,310,1099,5495
C026,22,Female,Premium,12,4,450,1999,23988
C027,37,Male,Free,1,110,210,749,749
C028,31,Female,Basic,6,38,340,1199,7194
C029,26,Male,Premium,9,9,400,1599,14391
C030,35,Female,Basic,4,65,300,999,3996
C031,29,Male,Free,2,100,230,799,1598
C032,42,Female,Premium,7,20,365,1799,12593
C033,27,Male,Basic,5,50,290,1099,5495
C034,23,Female,Free,1,135,190,699,699
C035,40,Male,Premium,10,8,420,1899,18990
C036,30,Female,Basic,6,29,350,1299,7794
C037,34,Male,Free,3,70,250,799,2397
C038,25,Female,Premium,8,11,380,1699,13592
C039,38,Male,Basic,4,44,310,1199,4796
C040,32,Female,Premium,11,5,430,1999,21989
